_id,Name,Address,City,State,Country,Zip Code,Latitude,Longitude,Hours
ObjectId("5c379680b96ec4c88ad19f9d"),Rock Bottom Restaurant & Brewery,9627 E County Line Rd,Englewood,CO,US,80112,39.567825,-104.87393999999999,"[{""day"":""Monday - Thursday
ObjectId("5c379680b96ec4c88ad19fa1"),Declaration Brewing,2030 S Cherokee St,Denver,CO,US,80223,39.679752,-104.990773,"[{""day"":""Monday - Wednesday""
ObjectId("5c379680b96ec4c88ad19fde"),Banded Oak Brewing Company,470 Broadway,Denver,CO,US,80203,39.723577,-104.987301,"[{""day"":""Sun""
ObjectId("5c379680b96ec4c88ad1a00e"),Brewery Rickoli Ltd.,4335 Wadsworth Blvd,Wheat Ridge,CO,US,80033,39.77579196,-105.08176090000002,"[{""day"":""Monday""
ObjectId("5c379680b96ec4c88ad1a025"),4 Noses Brewing Company,8855 W 116th Cir,Broomfield,CO,US,80021,39.90648251,-105.0984737,"[{""day"":""Monday - Tuesday""
ObjectId("5c379680b96ec4c88ad1a041"),Southern Sun Pub & Brewery,627 S Broadway St,Boulder,CO,US,80305,39.9843,-105.24922,"[{""day"":""Monday""
ObjectId("5c379680b96ec4c88ad1a043"),Wild Woods Brewery,5460 Conestoga Ct,Boulder,CO,US,80301,40.0164,-105.2267,"[{""day"":""Thursday""
ObjectId("5c379680b96ec4c88ad1a055"),Kokopelli Beer Company,8931 Harlan St,Westminster,CO,US,80031,39.858546999999994,-105.06508999999998,"[{""day"":""Monday - Tuesday
ObjectId("5c379680b96ec4c88ad1a058"),Diebolt Brewing Co.,3855 Mariposa St,Denver,CO,US,80211,39.769974,-105.00296000000002,"[{""day"":""Wednesday - Friday""
ObjectId("5c379680b96ec4c88ad1a063"),Manitou Brewing Company,725 Manitou Ave,Manitou Springs,CO,US,80829,38.85702,-104.91565,"[{""day"":""Monday - Thursday""
ObjectId("5c379680b96ec4c88ad1a07e"),Westminster Brewing Company,7655 W 108th Ave,Broomfield,CO,US,80021,39.89318092,-105.08311609999998,"[{""day"":""Sun""
ObjectId("5c379680b96ec4c88ad1a092"),Lowdown Brewery+kitchen,800 Lincoln St,Denver,CO,US,80203,39.729307,-104.98576000000001,"[{""day"":""Fri - Sat""
ObjectId("5c379680b96ec4c88ad1a094"),Stomp Them Grapes Llc,4731 Lipan St,Denver,CO,US,80211,39.782295,-105.001843,"[{""day"":""Thu""
ObjectId("5c379680b96ec4c88ad1a0b1"),Lyons Den Liquor,5332 Dtc Blvd Unit 500,Englewood,CO,US,80111,39.6183,-104.8894,"[{""day"":""Friday""
ObjectId("5c379680b96ec4c88ad1a0d4"),New Belgium Brewing,500 Linden St,Fort Collins,CO,US,80524,40.5934,-105.0669,"[{""day"":""Tuesday - Saturday""
ObjectId("5c379680b96ec4c88ad1a0ec"),Black Shirt Brewing Co.,3719 Walnut St,Denver,CO,US,80205,39.76978177,-104.9728693,"[{""day"":""Monday - Thursday
ObjectId("5c379680b96ec4c88ad1a0fb"),Sandlot Brewery,2161 Blake St,Denver,CO,US,80205,39.755753000000006,-104.99242,"[{""day"":""Mon - Fri""
ObjectId("5c379680b96ec4c88ad1a10e"),Epic Brewing Denver,3001 Walnut St,Denver,CO,US,80205,39.76317,-104.981319,"[{""day"":""Monday - Thursday""
ObjectId("5c379680b96ec4c88ad1a115"),Black Sky Brewery,490 Santa Fe Dr,Denver,CO,US,80204,39.72394,-104.99828000000001,"[{""day"":""Monday - Thursday
ObjectId("5c379680b96ec4c88ad1a11a"),Prost Brewing,2540 19th St,Denver,CO,US,80211,39.761379999999996,-105.00667,"[{""day"":""Monday - Thursday""
ObjectId("5c379680b96ec4c88ad1a11e"),Vine Street Pub & Brewery,1700 Vine St,Denver,CO,US,80206,39.7433781,-104.9619788,"[{""day"":""Monday""
ObjectId("5c379680b96ec4c88ad1a121"),Cannonball Creek Brewery Company,393 N. Washington Ave,Golden,CO,US,80403,39.768679999999996,-105.235146,"[{""day"":""Saturday""
ObjectId("5c379680b96ec4c88ad1a136"),Rock Bottom Restaurant & Brewery,14694 Orchard Parkway,Broomfield,CO,US,80020,39.962578,-104.99298,"[{""day"":""Sun - Thu""
ObjectId("5c379680b96ec4c88ad1a137"),C. B. & Potts/Bighorn Brewing Company,555 Zang St,Broomfield,CO,US,80021,39.928093,-105.133835,"[{""day"":""Sun - Sat""
ObjectId("5c379680b96ec4c88ad1a138"),Rockyard American Grill & Brewing Company,880 Castleton Rd,Castle Rock,CO,US,80109,39.40915,-104.86977399999999,"[{""day"":""Monday - Sunday""
ObjectId("5c379680b96ec4c88ad1a143"),Stapleton Tap House,8286 E Northfield Blvd.,Denver,CO,US,80238,39.780914,-104.89243,"[{""day"":""Sun""
ObjectId("5c379680b96ec4c88ad1a144"),BRU handbuilt ales & eats,5290 Arapahoe Ave,Boulder,CO,US,80303,40.01462,-105.22963999999999,"[{""day"":""Sun""
ObjectId("5c379680b96ec4c88ad1a145"),BJ's Restaurant & Brewhouse,14442 E Cedar Ave,Aurora,CO,US,80012,39.712368,-104.819824,"[{""day"":""Monday - Thursday
ObjectId("5c379680b96ec4c88ad1a146"),BJ's Restaurant and Brewhouse,10446 Town Center Dr,Broomfield,CO,US,80021,39.888157,-105.074265,"[{""day"":""Monday - Thursday
ObjectId("5c379680b96ec4c88ad1a195"),Rockyard American Grill & Brew,880 Castleton Rd,Castle Rock,CO,US,80109,39.409409000000004,-104.86916399999998,"[{""day"":""Sun""
ObjectId("5c379680b96ec4c88ad1a197"),Verboten Brewing,1550 Taurus Ct,Loveland,CO,US,80537,40.40070308,-105.05518490000001,"[{""day"":""Tue - Thu""
ObjectId("5c379680b96ec4c88ad1a1b2"),Crazy Mountain Brewery Tap Room,471 Kalamath St,Denver,CO,US,80204,39.723645,-105.000371,"[{""day"":""Sun""
ObjectId("5c379680b96ec4c88ad1a1ba"),Stem Ciders,2811 Walnut St,Denver,CO,US,80205,39.761694,-104.98383999999999,"[{""day"":""Friday""
ObjectId("5c379680b96ec4c88ad1a1eb"),Meadery Of The Rockies,3701 G Rd,Palisade,CO,US,81526,39.105545,-108.36599299999999,"[{""day"":""Mon - Sun""
ObjectId("5c379680b96ec4c88ad1a21f"),Kannah Creek Brewing Company,456 Kokopelli Blvd,Fruita,CO,US,81521,39.152848999999996,-108.73478600000001,"[{""day"":""Sun""
ObjectId("5c379680b96ec4c88ad1a222"),Rock Bottom Brewery - Centerra Promenade,6025 Sky Pond Dr,Loveland,CO,US,80538,40.410953000000006,-104.98978600000001,"[{""day"":""Sun""
ObjectId("5c379680b96ec4c88ad1a252"),Compass Cider House Inc,216 N College Ave,Fort Collins,CO,US,80524,40.5895,-105.0766,"[{""day"":""Sunday""
ObjectId("5c379680b96ec4c88ad1a253"),Left Hand Brewing Co,1265 Boston Ave,Longmont,CO,US,80501,40.1586,-105.1155,"[{""day"":""Sunday""
ObjectId("5c379680b96ec4c88ad1a263"),J Wells Brewery,2516 49th St,Boulder,CO,US,80301,40.0237,-105.2378,"[{""day"":""Mon - Fri""
ObjectId("5c379680b96ec4c88ad1a264"),Liquid Mechanics,297 N US Highway 287,Lafayette,CO,US,80026,39.9995,-105.1036,"[{""day"":""Sun""
ObjectId("5c379680b96ec4c88ad1a266"),Pateros Creek Brewing Co,242 N College Ave,Fort Collins,CO,US,80524,40.5901,-105.0765,"[{""day"":""Monday - Wednesday""
ObjectId("5c379680b96ec4c88ad1a308"),Kickapoo Tavern,129 River Run Rd,Dillon,CO,US,80435,39.60652073,-105.94207279999999,"[{""day"":""Monday - Wednesday""
ObjectId("5c379680b96ec4c88ad1a32d"),Liquid Mechanics,297 US-287,Lafayette,CO,US,80026,39.99978212,-105.1033668,"[{""day"":""Friday""
ObjectId("5c379680b96ec4c88ad1a339"),Barrels & Bottles,600 12th St,Golden,CO,US,80401,39.75654,-105.21914,"[{""day"":""Friday - Saturday""
ObjectId("5c379680b96ec4c88ad1a355"),Renegade Brewing Co.,925 W 9th Ave,Denver,CO,US,80204,39.730644,-104.99911499999999,"[{""day"":""Monday - Thursday""
ObjectId("5c379680b96ec4c88ad1a382"),Lost Highway Brewing Co,520 E Colfax Ave,Denver,CO,US,80203,39.739902,-104.980073,"[{""day"":""Wednesday""
ObjectId("5c379680b96ec4c88ad1a38a"),Barnett and Son Brewing Co,18425 Pony Express Dr,Parker,CO,US,80134,39.521865000000005,-104.775341,"[{""day"":""Fri""
ObjectId("5c379680b96ec4c88ad1a3a6"),Grimm Brothers Taproom,623 Denver Ave Loveland Co,Loveland,CO,US,80537,40.39689732,-105.04674890000001,"[{""day"":""Sun""
ObjectId("5c379680b96ec4c88ad1a3ba"),Avery Brewing Co,5763 Arapahoe Ave,Boulder,CO,US,80303,40.014843,-105.218724,"[{""day"":""Tue""
ObjectId("5c379680b96ec4c88ad1a3c5"),Tasty Weasel,1800 Pike Rd,Longmont,CO,US,80501,40.139056,-105.12188700000002,"[{""day"":""Sun""
ObjectId("5c379680b96ec4c88ad1a3d7"),Aspen Brewing Co,304 E Hopkins Ave,Aspen,CO,US,81611,39.19032670000001,-106.82032779999999,"[{""day"":""Monday ""
ObjectId("5c379680b96ec4c88ad1a3e4"),Highland Water,1338 S Valentia St,Denver,CO,US,80247,39.692422,-104.891554,"[{""day"":""Sunday ""
ObjectId("5c379680b96ec4c88ad1a40b"),Pug Ryan's Steakhouse & Brew,104 Village Pl,Dillon,CO,US,80435,39.628149,-106.046323,"[{""day"":""Fri""
ObjectId("5c379680b96ec4c88ad1a413"),1933 Brewing Company,4025 S Mason,Fort Collins,CO,US,80525,40.53153378,-105.0799763,"[{""day"":""Tue - Fri""
ObjectId("5c379680b96ec4c88ad1a43c"),Brewery Rickoli,4335 Wadsworth Blvd.,Wheat Ridge,CO,US,80033-4621,39.77565,-105.08163,"[{""day"":""Sun""
ObjectId("5c379680b96ec4c88ad1a445"),Grimm Brothers Brewhouse Llc,547 Denver Ave,Loveland,CO,US,80537,40.3974,-105.0457,"[{""day"":""Thu""
ObjectId("5c379680b96ec4c88ad1a45e"),Fiction Beer Company,7101 E Colfax Ave,Denver,CO,US,80220,39.74032636,-104.9056578,"[{""day"":""Tuesday ""
ObjectId("5c379680b96ec4c88ad1a477"),Black Bottle Brewery,1611 S College Ave,Fort Collins,CO,US,80525,40.566476,-105.07721699999999,"[{""day"":""Saturday""
ObjectId("5c379680b96ec4c88ad1a4db"),Plum Creek Winery,3708 G Rd,Palisade,CO,US,81526,39.106927,-108.36566699999999,"[{""day"":""Sun""
ObjectId("5c379680b96ec4c88ad1a4dc"),Reeder Mesa Vineyards,7799 Reeder Mesa Rd,Whitewater,CO,US,81527,38.965865,-108.31436000000001,"[{""day"":""Wed - Sat""
ObjectId("5c379680b96ec4c88ad1a4e6"),Big Choice Brewing,7270 W 118th Pl,Broomfield,CO,US,80020,39.9104,-105.07845,"[{""day"":""Fri - Sat""
ObjectId("5c379680b96ec4c88ad1a51c"),Colorado Mountain Brewery,1110 Interquest Pkwy,Colorado Springs,CO,US,80921,38.99343,-104.81188,"[{""day"":""Sun - Thu""
ObjectId("5c379680b96ec4c88ad1a546"),Pikes Peak Brewing Company,1756 Lake Woodmoor Dr,Monument,CO,US,80132,39.09539673,-104.8603392,"[{""day"":""Monday - Wednesday""
ObjectId("5c379680b96ec4c88ad1a556"),Corner Liquors,117 N 6th St,Windsor,CO,US,80550,40.481590000000004,-104.90565,"[{""day"":""Monday - Friday""
ObjectId("5c379680b96ec4c88ad1a55a"),Upslope Brewery,1898 S Flatiron Ct,Boulder,CO,US,80301,40.02029816,-105.21851809999998,"[{""day"":""Monday - Sunday""
ObjectId("5c379680b96ec4c88ad1a56f"),Carbondale Beer Works,647 Main St,Carbondale,CO,US,81623,39.4006,-107.2131,"[{""day"":""Sun""
ObjectId("5c379680b96ec4c88ad1a579"),River North Brewery,6021 Washington St,Denver,CO,US,80216,39.80638,-104.97809,"[{""day"":""Friday""
ObjectId("5c379680b96ec4c88ad1a589"),BJ's Restaurant and Brewhouse,5150 N Nevada Ave,Colorado Springs,CO,US,80918,38.90341,-104.817894,"[{""day"":""Monday - Thursday
ObjectId("5c379680b96ec4c88ad1a594"),Elk Mountain Brewing,18921 Plaza Dr,Parker,CO,US,80134,39.526997200000004,-104.77020300000001,"[{""day"":""Sunday""
ObjectId("5c379680b96ec4c88ad1a5b0"),Rock Bottom Restaurant & Brewery,Concourse C near C32,Denver,CO,US,80249,39.86305720000001,-104.67608299999999,"[{""day"":""Friday""
ObjectId("5c379680b96ec4c88ad1a5be"),Denver Chop House & Brewery,at Concourse A,Denver,CO,US,80202,39.85380962,-104.67380759999999,"[{""day"":""Monday - Saturday""
ObjectId("5c379680b96ec4c88ad1a5bf"),FERM��NTRA,1715 E Evans Ave,Denver,CO,US,80210,39.67862122,-104.96702749999999,"[{""day"":""Monday - Thursday""
ObjectId("5c379680b96ec4c88ad1a5e0"),Dillon Dam Brewery,100 Little Dam Rd.,Silverthorne,CO,US,80498,39.62758143,-106.0604239,"[{""day"":""Monday - Sunday""
ObjectId("5c379680b96ec4c88ad1a631"),Crow Hop Brewing,217 E 3rd St,Loveland,CO,US,80537,40.3946,-105.0741,"[{""day"":""Monday - Thursday""
ObjectId("5c379680b96ec4c88ad1a642"),Bristol Brewing Company,1604 S Cascade Ave,Colorado Springs,CO,US,80905-2237,38.810994,-104.826612,"[{""day"":""Monday - Thursday""
ObjectId("5c379680b96ec4c88ad1a667"),Grandma's House,1710 S Broadway,Denver,CO,US,80210,39.68551286,-104.9873892,"[{""day"":""Monday - Thursday""
ObjectId("5c379680b96ec4c88ad1a668"),CB & Potts,43 Centennial Blvd,Littleton,CO,US,80129,39.5628,-104.9884,"[{""day"":""Monday - Thursday""
ObjectId("5c379680b96ec4c88ad1a66a"),Wapiti Colorado Pub,247 W Elkhorn Ave,Estes Park,CO,US,80517,40.37633418,-105.52599909999999,"[{""day"":""Monday - Sunday""
ObjectId("5c379680b96ec4c88ad1a670"),Zephyr Brewing Co.,2601 Walnut St,Denver,CO,US,80205,39.7593,-104.9863,"[{""day"":""Wednesday""
ObjectId("5c379680b96ec4c88ad1a68d"),Great Divide Brewing Co.,2201 Arapahoe St,Denver,CO,US,80205,39.7536,-104.9885,"[{""day"":""Monday - Tuesday
ObjectId("5c379680b96ec4c88ad1a6ad"),Ratio Beerworks,2920 Larimer St,Denver,CO,US,80205,39.7615,-104.98100000000001,"[{""day"":""Monday - Wednesday""
ObjectId("5c379680b96ec4c88ad1a6b9"),Golden City Brewery,920 12th St,Golden,CO,US,80401,39.754673,-105.22368,"[{""day"":""Monday - Sunday""
ObjectId("5c379680b96ec4c88ad1a6bb"),Hogshead Brewery,4460 W. 29th Ave,Denver,CO,US,80212,39.75821,-105.04503999999999,"[{""day"":""Monday - Wednesday""
ObjectId("5c379680b96ec4c88ad1a6bd"),Mas Kaos Pizzeria & Taqueria,4526 Tennyson St,Denver,CO,US,80212,39.778929,-105.043609,"[{""day"":""Monday
ObjectId("5c379680b96ec4c88ad1a6c0"),Colorado Plus,6995 W 38th Ave,Wheat Ridge,CO,US,80033,39.769665,-105.07413500000001,"[{""day"":""Saturday""
ObjectId("5c379680b96ec4c88ad1a6eb"),Jagged Mountain Brewery,1139 20th St,Denver,CO,US,80202,39.75226,-104.99139,"[{""day"":""Monday - Thursday""
ObjectId("5c379680b96ec4c88ad1a6ef"),Mountain Sun Pub and Brewery,1535 Pearl St,Boulder,CO,US,80302,40.01911,-105.27526999999999,"[{""day"":""Monday - Sunday""
ObjectId("5c379680b96ec4c88ad1a6f1"),Breckenridge Brewery and BBQ,471 Kalamath St,Denver,CO,US,80204,39.72361,-105.00018999999999,"[{""day"":""Mon - Sat""
ObjectId("5c379680b96ec4c88ad1a6f4"),Scrumpy's,215 N College Ave,Fort Collins,CO,US,80524,40.589490000000005,-105.07749,"[{""day"":""Thursday""
ObjectId("5c379680b96ec4c88ad1a6fa"),River North Brewery,2401 Blake St,Denver,CO,US,80205,39.7584,-104.9894,"[{""day"":""Sun""
ObjectId("5c379680b96ec4c88ad1a71a"),Avery Brewing,5757 Arapahoe Ave,Boulder,CO,US,80303,40.014843,-105.218749,"[{""day"":""Tue""
ObjectId("5c379680b96ec4c88ad1a747"),Former Future,1290 S Broadway,Denver,CO,US,80210,39.69339001,-104.9872123,"[{""day"":""Thu""
ObjectId("5c379680b96ec4c88ad1a753"),Storm Peak Brewing Company,1744 Lincoln Ave,Steamboat Springs,CO,US,80487,40.491417,-106.84291999999999,"[{""day"":""Sun""
ObjectId("5c379680b96ec4c88ad1a762"),Our Mutual Friend Malt & Brew,2810 Larimer St,Denver,CO,US,80205,39.760505,-104.982564,"[{""day"":""Sat""
ObjectId("5c379680b96ec4c88ad1a780"),Brewery Bar III,9228 Park Meadows Dr,Lone Tree,CO,US,80124,39.554344,-104.8831,"[{""day"":""Friday""
ObjectId("5c379680b96ec4c88ad1a7aa"),38 State Brewery,8071 S Broadway,Littleton,CO,US,80122,39.56906074,-104.98951159999999,"[{""day"":""Fri""
ObjectId("5c379680b96ec4c88ad1a7ac"),Suds Brothers Brewery,127 E Aspen Ave Fruita Co,Fruita,CO,US,81521,39.15896214,-108.73273200000001,"[{""day"":""Mon""
ObjectId("5c379680b96ec4c88ad1a7b4"),Asher Brewing Company,4699 Nautilus Ct S,Boulder,CO,US,80301,40.06031553,-105.20598329999999,"[{""day"":""Tue""
ObjectId("5c379680b96ec4c88ad1a7be"),Wit���s End Brewery,2505 W 2nd Ave,Denver,CO,US,80219,39.72079535,-105.017597,"[{""day"":""Fri - Sat""
ObjectId("5c379680b96ec4c88ad1a7c1"),Molson Coors Brewing Company,300 12th St,Golden,CO,US,80401,39.75604532,-105.21747820000002,"[{""day"":""Sat""
